PKI,Variant,Distributed,Subscribe,Cache,Firewall,Attack Origin,Revocation Origin,Message Time,message_time,firewall,delivered_count,delivered_ratio,delivered_count_earth,delivered_count_moon,delivered_count_mars,latency_dropped_min,latency_dropped_max,latency_dropped_mean,latency_dropped_std,latency_accepted_min,latency_accepted_max,latency_accepted_mean,latency_accepted_std,delivered_ratio_earth,delivered_ratio_moon,delivered_ratio_mars
OCSP,--,,\cmark,\cmark,,Moon,Earth (Ground),16000,16000,False,0,0.0,0,0,0,1.3651963415723003,2000.0,87.18864900018805,404.7581897782557,,,,,0.0,0.0,0.0
OCSP,--,,\cmark,\cmark,,Moon,Earth (Ground),34700,34700,False,0,0.0,0,0,0,2711.3505805676978,4900.0,2805.848189271242,443.1402592083595,,,,,0.0,0.0,0.0
OCSP,--,,\cmark,\cmark,,Mars,Earth (Ground),3200,3200,False,0,0.0,0,0,0,2200.0,3733.321548067018,3664.009219066877,309.7907689520274,,,,,0.0,0.0,0.0
OCSP,--,,\cmark,\cmark,,Mars,Earth (Ground),12100,12100,False,0,0.0,0,0,0,2300.0,3653.36501343736,3591.7291802959217,273.3358379998223,,,,,0.0,0.0,0.0
OCSP,--,,\cmark,\cmark,,Mars,Earth (Ground),16000,16000,False,0,0.0,0,0,0,1259.371172839743,2000.0,1291.4169252719796,149.94122169710698,,,,,0.0,0.0,0.0
OCSP,--,,\cmark,\cmark,,Mars,Earth (Ground),34700,34700,False,0,0.0,0,0,0,1259.3897595126837,2967.704450593119,1377.9202233448757,385.6166128119788,,,,,0.0,0.0,0.0
OCSP,--,\cmark,,,,Earth,Earth,3200,3200,False,27,9.64285714285714,20,7,0,0.0685096638039794,3729.3714127778494,177.1642845131706,792.6486011441488,0.0166534969284839,1.3892147690980892,0.3918929769408721,0.5774369782056978,7.8125,58.333333333333336,0.0
OCSP,--,\cmark,,,,Earth,Earth,12100,12100,False,24,8.57142857142857,23,1,0,0.1090025810790393,3649.3750173202006,226.9921504477668,803.0960525812268,0.05983077199744,1296.2937608012016,54.108541281167845,259.0135238302873,8.984375,8.33333333333333,0.0
OCSP,--,\cmark,,,,Earth,Earth,16000,16000,False,12,4.28571428571428,0,12,0,0.04236301007586,1259.4868951320605,56.58969279185966,260.4276475509249,1.3154131410447008,1.4098903625708772,1.3658834788154006,0.02803300836322,0.0,100.0,0.0
OCSP,--,\cmark,,,,Earth,Earth,34700,34700,False,18,6.42857142857142,6,1,11,0.0593800305505283,2965.07227257728,119.88431978613488,553.0128755175804,0.0412977609885274,2711.305761174066,920.2793782181188,728.5264766723196,2.34375,8.33333333333333,91.66666666666666
OCSP,--,\cmark,,,,Earth,Moon,3200,3200,False,253,90.35714285714286,253,0,0,1.3381792045138354,3729.3714127778494,1659.2390598214156,1851.5837780247723,0.0166534969284839,0.2369681383679562,0.1331639408353446,0.0515807958473887,98.828125,0.0,0.0
OCSP,--,\cmark,,,,Earth,Moon,12100,12100,False,257,91.78571428571428,256,0,1,1296.2937608012016,3649.3750173202006,2421.708777529389,1175.400937414545,0.05983077199744,3649.361238560725,14.433049113620124,227.18384578941897,100.0,0.0,8.33333333333333
OCSP,--,\cmark,,,,Earth,Moon,16000,16000,False,264,94.28571428571428,252,0,12,1.3154131410447008,5.137896230909973,2.303436554371956,1.6241148616127612,0.04236301007586,1259.4868951320605,57.36959577687205,262.31549988360206,98.4375,0.0,100.0
OCSP,--,\cmark,,,,Earth,Moon,34700,34700,False,268,95.71428571428572,256,0,12,2711.305761174066,2965.07227257728,2732.4709255661546,70.13194513866038,0.0412977609885274,1259.4425761276652,56.66070703395379,260.4029661758504,100.0,0.0,100.0
OCSP,--,\cmark,,,,Earth,Mars,3200,3200,False,268,95.71428571428572,256,12,0,3729.361813120103,3729.3714127778494,3729.370612806371,0.0026532052384274,0.0166534969284839,10.163604382805715,0.3011109646757978,1.0771626307065252,100.0,100.0,0.0
OCSP,--,\cmark,,,,Earth,Mars,12100,12100,False,268,95.71428571428572,256,12,0,3649.361238560725,3649.3750173202006,3649.373869090244,0.0038082479381558,0.05983077199744,1296.388644645629,58.26906371751264,268.05264302516434,100.0,100.0,0.0
OCSP,--,\cmark,,,,Earth,Mars,16000,16000,False,268,95.71428571428572,256,12,0,1259.4103157125685,1259.4868951320605,1259.4502134876536,0.0215036440956189,0.04236301007586,5.137896230909973,0.2575586123594436,0.6519718097007821,100.0,100.0,0.0
OCSP,--,\cmark,,,,Earth,Mars,34700,34700,False,256,91.42857142857143,256,0,0,1259.3595383768406,2965.07227257728,1995.9342323640924,738.2042708969941,0.0412977609885274,10.137688013361185,0.2824180279502002,1.2363206036262813,100.0,0.0,0.0
OCSP,--,\cmark,,,,Moon,Earth,3200,3200,False,13,4.642857142857141,0,12,1,1.3465977396153903,3729.3714127778494,155.14002130163732,740.8997812735157,0.039338738279639,3729.361813120103,286.9432615093219,993.7406388522052,0.0,100.0,8.33333333333333
OCSP,--,\cmark,,,,Moon,Earth,12100,12100,False,13,4.642857142857141,0,12,1,1296.3290537682406,3649.3750173202006,1393.8623348014237,467.5502763499479,0.0078306513023562,3649.361238560725,298.4782273173608,969.242782872651,0.0,100.0,8.33333333333333
OCSP,--,\cmark,,,,Moon,Earth,16000,16000,False,12,4.28571428571428,0,12,0,1.3651963415723003,1260.809530763061,57.8700382559101,260.43639486810264,0.023675800737692,0.118149900868957,0.072010560478399,0.027642008447571,0.0,100.0,0.0
OCSP,--,\cmark,,,,Moon,Earth,34700,34700,False,12,4.28571428571428,0,12,0,2711.3505805676978,3985.0626062153897,2768.520864886919,260.55258088117364,0.0232543295496725,0.0975010889378609,0.0685442952077816,0.0224562436168284,0.0,100.0,0.0
OCSP,--,\cmark,,,,Moon,Moon,3200,3200,False,21,7.5,21,0,0,0.039338738279639,3729.3714127778494,174.222090875381,783.610662091491,1.3465977396153903,1.4088758439838784,1.386978592127196,0.0135097352314547,8.203125,0.0,0.0
OCSP,--,\cmark,,,,Moon,Moon,12100,12100,False,4,1.42857142857142,0,4,0,0.0805456094130931,3649.3750173202006,1362.468656248489,532.0687999613084,0.0078306513023562,0.0382213694574602,0.0278056307101906,0.0118564096267823,0.0,33.33333333333333,0.0
OCSP,--,\cmark,,,,Moon,Moon,16000,16000,False,0,0.0,0,0,0,0.023675800737692,1260.809530763061,55.39297992610589,255.0632719197268,,,,,0.0,0.0,0.0
OCSP,--,\cmark,,,,Moon,Moon,34700,34700,False,1,0.35714285714285005,1,0,0,0.0232543295496725,3985.0626062153897,2649.652558210283,617.0236715711231,2711.3505805676978,2711.3505805676978,2711.3505805676978,0.0,0.390625,0.0,0.0
OCSP,--,\cmark,,,,Moon,Mars,3200,3200,False,268,95.71428571428572,256,12,0,3729.361813120103,3729.3714127778494,3729.370612806371,0.0026532052384274,0.039338738279639,10.163604382805715,1.4932863189623184,1.0986911320870305,100.0,100.0,0.0
OCSP,--,\cmark,,,,Moon,Mars,12100,12100,False,268,95.71428571428572,256,12,0,3649.361238560725,3649.3750173202006,3649.373869090244,0.0038082479381558,0.0078306513023562,1310.1380961873056,1239.7349773060555,264.6001717628789,100.0,100.0,0.0
OCSP,--,\cmark,,,,Moon,Mars,16000,16000,False,268,95.71428571428572,256,12,0,1260.7329744215458,1260.809530763061,1260.7728742127083,0.0214989902733417,0.023675800737692,5.137896230909973,1.4207458535714397,0.4868468100293558,100.0,100.0,0.0
OCSP,--,\cmark,,,,Moon,Mars,34700,34700,False,12,4.28571428571428,0,12,0,2711.3505805676978,3985.0626062153897,2768.520864886919,260.55258088117364,0.0232543295496725,0.0975010889378609,0.0685442952077816,0.0224562436168284,0.0,100.0,0.0
