PKI,Variant,Distributed,Start Time,Dropped (%),Latency Min (s),Latency Max (s),Latency Mean (s),Latency Std (s),Establishment Overhead Max (s),Establishment Overhead Mean (s),Establishment Overhead Std (s),Total Hops Min,Total Hops Max,Total Hops Mean,Total Hops Std
OCSP,--,,3200,8.37173579109063,0.005874888843663939,3729.3690799112856,1.8708367978947145,68.28928149952614,15.07896915159381,0.2566031036875928,0.8565884246837655,2,41,16.617001955853592,5.185782895927972
OCSP,--,,12100,8.37173579109063,0.011423664611356799,3649.3641483346637,115.30069043293426,372.67764693727366,1297.6880124904856,2.575397482275891,54.149871571608024,2,33,16.532229673093042,4.405202878993563
OCSP,--,,16000,4.270353302611367,0.00957695290526317,1265.1346123276053,54.83221494782192,255.91136427024642,15.083824900606487,0.271705041119891,0.7636273462245845,2,49,17.81865104835259,5.751092457966082
OCSP,--,,34700,12.457757296466974,0.011477971245767549,2965.008565502605,58.17702480312302,266.17234400185475,15.123763985277037,0.19995476540978213,1.0372063276587522,2,32,16.00274902029596,4.44898437419571
OCSP,--,\cmark,3200,7.491039426523298,0.005874888843663939,3730.698574336735,30.42786183831656,332.72283477985326,15.07896915159381,0.13602723852978302,0.6687327921340378,2,29,15.765940665301379,3.930093830405298
OCSP,--,\cmark,12100,7.491039426523298,0.0072617546502442565,3650.708875892251,139.8650257907967,479.87503725214805,15.092221439565037,0.13566683428010837,0.5966649830620631,2,28,15.855759118835445,3.8747790588431954
OCSP,--,\cmark,16000,0.0,0.006978526977036381,1265.1346123276053,104.03708701630183,346.1288491511071,15.083824900606487,0.14731970796436641,0.5404128227981126,2,35,17.040194572452638,4.611159147320167
OCSP,--,\cmark,34700,7.491039426523298,0.007677888897887897,3985.0106598342827,129.649363345659,424.11817074614055,15.123763985277037,0.18851099273267197,0.9974194542415592,2,32,15.986840648696518,4.486541645610688
OCSP,Stapling,,3200,8.37173579109063,0.005874888843663939,3729.3690799112856,1.8666130658746893,68.2885889052702,10.115995479741287,0.2856357251811828,1.0060321303549347,2,41,16.66209835149483,5.157029517816025
OCSP,Stapling,,12100,8.187403993855606,0.011423664611356799,3649.3641483346637,122.3602913809287,404.45370536182895,1297.7047484741033,60.491785665245104,273.2530266185964,2,44,16.65825943896046,4.518036233852442
